original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Eliot (George)-Adam Bede. 2 vols. New cabinet edit. Cr. 8vo., pp. 388, 444, ea. is. net W. BLACKWOOD, Sep. 13",96,104,,Eliot (George),Adam Bede. 2 vols. New cabinet edit.,Cr. 8vo.,"pp. 388, 444, ea. is. net",W. BLACKWOOD,Sep. 13
"Eliot (George)-Romola. 12mo., pp. 616, is. net Ithr. is. 6d. net ; (World's classics) FROWDE, Apr. 13",96,104,,Eliot (George),Romola.,12mo.,"pp. 616, is. net Ithr. is. 6d. net ; (World's classics)",FROWDE,Apr. 13
"Eliot (George)-Scenes of clerical life. 2 vols. Cr. 8vo., pp. 304, 324, ea. is. net. (New cabinet edit.) W. BLACKWOOD, Oct. 13",96,104,,Eliot (George),Scenes of clerical life. 2 vols.,Cr. 8vo.,"pp. 304, 324, ea. is. net. (New cabinet edit.)",W. BLACKWOOD,Oct. 13
"Eliot (George)-Scenes of clerical life. I 2m1o., 6d. net .NELSON, Aug. 13",96,104,,Eliot (George),Scenes of clerical life.,I 2m1o.,6d. net .,NELSON,Aug. 13
"Eliot (George)-Silas Marner. Edit, with intro. and notes by H. Marwick. 12mo., pp. 228, 29. (Clarendon Press) MILFORD, Nov. 13",96,104,,Eliot (George),"Silas Marner. Edit, with intro. and notes by H. Marwick.",12mo.,"pp. 228, 29. (Clarendon Press)",MILFORD,Nov. 13
"Eliot (George)-The Mill on the Ploss. 2 vols. New cabinet edit. Cr. 8vo., pp. 426, 410, ea. IS. net W. BLACKWOOD, Sep. 13",96,104,,Eliot (George),The Mill on the Ploss. 2 vols. New cabinet edit.,Cr. 8vo.,"pp. 426, 410, ea. IS. net",W. BLACKWOOD,Sep. 13
"Eliot (George)—Daniel Deronda. 3 vols. New cabinet edit. Cr. 8vo., pp. 422, 414, 416, ea. IS. net ... W. BLACKWOOD, Nov. 13",96,104,,Eliot (George),Daniel Deronda. 3 vols. New cabinet edit.,Cr. 8vo.,"pp. 422, 414, 416, ea. IS. net ...",W. BLACKWOOD,Nov. 13
"Eliot (George)—Felix Holt, the Radical. 2 vols. 12mo., pp. 356, 364, ea. Is. net. (New cabinet edit.) ..W. BLACKWOOD, Oct.13",96,104,,Eliot (George),"Felix Holt, the Radical. 2 vols.",12mo.,"pp. 356, 364, ea. Is. net. (New cabinet edit.)",W. BLACKWOOD,Oct.13
"Eliot (George)—I'elix Holt. 12mo., pp. 518, is, net, ithr. is, 6d. net (World's classics) HI. MILFORD, May 13",96,104,,Eliot (George),I'elix Holt.,12mo.,"pp. 518, is, net, ithr. is, 6d. net (World's classics)",HI. MILFORD,May 13
"Eliot (George)—Middlemarch: a study of pro- vincial life, vols. New cabinet edit. Cr. 8vo., pp. 420, 400, 470, ea. Is. net W. BLACKWOOD, Nov. 13",96,104,,Eliot (George),"Middlemarch: a study of pro- vincial life, vols. New cabinet edit.",Cr. 8vo.,"pp. 420, 400, 470, ea. Is. net",W. BLACKWOOD,Nov. 13
